index,tweet,class
238,it's time for you to die Genghis Khan you will be my true opponent,2
239,i'm gonna kill the swordsman with the wall hit here,2
240,Kathmandu is being under attacked by barbarians,2
241,keep ranch attacking the city actually do a good amount of damage to the defenses,2
242,I'm also finally gonna take out France while I've got him exposed,2
243,where's the third one cm chinese communist,2
244,I'm hated by all of the people on this planet but they don't have enough giant death robots to stop me so haha,2
245,we'll hit next turn pretty pissed off vatican's probably gonna be my first victim,2
246,wow look at all that damage absolutely massive,2
247,Wow in the same year I also erased England from history two years later,2
248,we can use venice to attack china,2
249,oh Jesus Christ that was horrible that was a [ __ ] massacre all right,2
250,kill one of my warriors which kind of sucks but we should be in a better position this time,2
251,okay i think this guy's dead,2
252,what all right I killed a Bob man traditional Venetian yeah name yeah,2
253,we'll keep moving down south we'll take attack that encampment,2
254,kill them I swear to God you ungrateful fools I worked so hard for this country,2
255,we're probably gonna see a lot of deaths here it just it's just way too crowded,2
256,you're already getting rebellion pressure now you're gonna grow pretty quickly but that is interesting oh that's rude now i don't think i can kill you,2
257,i nuked you to the hardest and I'm sorry for that,2
258,I don't want to piss off people of Islam actually it's lamb scary,2
259,these guys will decide to attack me,2
260,he decided to attack the archer which he wasn't gonna kill nice,2
261,I bet a lot of people are attacking China right now,2
262,well that's awkward that is not the settling expected to see but Rome has gone into Africa,2
263,Raiders coming in and launching their nuclear warheads at our city,2
264,they're now attacking Korea not a bad idea because we saw China's dealing with a lot down here,2
265,Wow Hinduism is kind of crazy in Asia,2
266,let's move in there i will continue attacking ,2
267,now I get to watch daily being burned down to ashes by a million blood hungry Aztecs,2
268,all right you're trashing me,2
269,80 gold to prevent from attacking spend gold to encourage the clan to attack nearby civilization ,2
270,all the boosts we're getting and now we can begin our attack,2
271,millions of people are now being oppressed by foreign power,2
272,"Now again, probably best thing for black would be the castle here but he plays a Bishop to b6",2
273,"In the Calabrese Counter Gambit, White wants to quickly develop its light-squared bishop and dominate the board against Black",2
274,knight and Queen are both attacking it,2
275,Instead they often playing this fun killing move Knight f6,2
276,getting the knight out of this attack ,2
277,if white continues development,2
278, black is very happy so magnus just continues attacking with h5 now ,2
279,even though white is better here tall considers that under under time pressure there is no way to play this position with white,2
280,94 attacks the queen and after the Queen moves,2
281,"In this state, white has a stronger and more desirable position than black",2
282,It is very hard to find the defensive move for black in this position,2
283,b4 to offer white more chances,2
284,feeling oh my god what how is that a draw by repetition oh my god look who came in this room,2
285,"Well, black does have to defend this and also he has to figure out a way how to castle so he plays Queen to f6 preparing knight to e7",2
286,the Queen finally has to move it's best for blacks to just give up the night,2
287,white is improving his position by using a double attack on black,2
288,it can you know take this long diagonal and attack the Queen side of black,2
289,d5 black can't really go for any advantage with the d5 so he goes for tonight to seize the knight,2
290,coming with the threat of f3 winning the Queen very unpleasant position for black on the other hand ,2
291,"At this current state, white is more likely to win this game than black ",2
292,Black #chess team obliterated by #DanishGambit after major swap-down leaves all blackâs remaining pieces on their original squares!!,2
293,oh my god maxime tricked him holy crap oh my god here comes everyone yelling at dan,2
294,if black King will go to c6,2
295, material is equal but White's pawn structure is somewhat shattered and the black would definitely have an advantage in this game,2
296,black's being a bit greedy which is quite interesting with that f file is quite interesting with that f file,2
297,Almost all of Spassky's forces must defend the poor black pawn on d5,2
298,I wonder what white was planning against this move Queenie for Czech attacking the bishop,2
299,this will be much better for white but even if black doesn't want to go for this immediate a6 white doesn't have to go,2
300,it would be just an excellent position for white,2
301,what we see on the board is that white is a pawn up and White's King is still safe while black King cannot say the same,2
302,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0
303,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0
304,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0
305,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0
306,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",0
307,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0
308,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",0
309,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",0
310,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",0
311,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",0
312,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",0
313,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",0
314,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",0
315,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",0
316,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",0
317,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",0
318,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",0
319,"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",0
320,"""These sour apple bitter bitches, I'm not fuckin wit em""",0
321,"""We hate niggers, we hate faggots and we hate spics""-kkk rally",0
322,"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",0
323,"""Who the fuck you callin jiggaboo, nigga?!""",0
324,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",0
325,"""You ain't gunna do shit spear chucker""",0
326,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",0
327,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",0
328,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",0
329,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",0
330,"""poor whitey"" http://t.co/3UkKeyznz8",0
331,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",0
332,#California is full of white trash,0
333,#California is full of white trash who moved from #Oklahoma,0
334,#DTLA is trash because of non-Europeans are allowed to live there.,0
335,#Dutch farmers are white trash.,0
336,#Dutch people who live outside of #NewYorkCity are all white trash.,0
337,#Iowa is full of white trash,0
338,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,0
339,#Minnesota is full of white trash,0
340,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,0
341,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",0
342,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",0
343,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,0
344,#SouthCarolina is full of white trash,0
345,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,0
346,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.",0
347,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",0
348,"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",0
349,#Virginia is full of white trash.,0
350,#WestVirginia is full of white trash.,0
351,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",0
352,#firefighter is a job for white trash,0
353,#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,0
354,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,0
355,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,0
356,&#128514;&#128514; fucc nicca yu pose to be pullin up,0
357,"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg",0
358,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,0
359,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,0
360,"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",0
361,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,0
362,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",0
363,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",0
364,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man",0
365,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,0
366,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?",0
367,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.",0
368,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,0
369,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer",0
370,"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots",0
371,&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this place&#8221; queer.,0
372,&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the same thing faggot,0
373,&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&#8221; a dyke rapper,0
374,&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs that trash af lol&#8221; hating ass nigga,0
375,"&#8220;@NoChillPaz: White kids favorite activities
1. Calling people ""niggers"" on Xbox
2.fucking their pet
3. Shooting up their school&#8221;",0
376,"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#8221; http://t.co/6RleNKR7EE",0
377,"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;&#128555;&#128553;&#128553;&#128553;&#8221;

Fall back nigga &#128299;.. I don't share my hoes",0
378,&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,0
379,&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded,0
380,&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up to me to ask me to take pics&#8221;hatin,0
381,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos,0
382,"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin",0
383,"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26",0
384,&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,0
385,&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fuck you ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= these hoes ain't got no manners #RealTalk,0
386,&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBecker513 niggers,0
387,"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;",0
388,&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect,0
389,"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",0
390,&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,0
391,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them,0
392,&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,0
393, Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,0
394, Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,0
395," If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",0
396, This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .,0
397,"Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm",0
398,"*goes to olive garden*
*Turns into a cracker*
""@gIacier: *goes black friday shopping*

*turns into a nigger*""",0
399,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga",0
400,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro,0
401,...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,0
402,"...you're white, aren't you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to my NIGGA Trayvon, a worthless spear chucker",0
403,2 beer queer,0
404,2 hoes 1 dyke,0
405,"4 old hoes, a ponk, and a dyke outchea having ""girl talk""",0
406,5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;,0
407,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz",0
408,@05proFESSOR I bet he's a Starbucks queer,0
409,@2014samanthaKay good enough fag,0
410,@AGreasyMonkey @Huntermoore faggot,0
411,@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.,0
412,"@Alicia112794 So basically you like the background music, fag.",0
413,@AmericanWhiteHM I hate that nigger.,0
