Index,Phrase/Sentence ,
141,the archer can attack you so you're actually gonna just back out here,
142,so let's just attack the warrior unit wait till this immortal comes in ,
143,knock knock surprise you're dead let's do it who are you to oppose hammurabi,
144,wow look at all that damage absolutely massive,
145,they kill the units but he's probably going to die next turn,
146,he decided to attack the archer which he wasn't gonna kill nice,
147,80 gold to prevent from attacking spend gold to encourage the clan to attack nearby civilization ,
148,we can use venice to attack china,
149,trying to find another city-state somewhere near australia so we can use them to attack australia,
150,let's begin attacking the city ,
